,names,price_new,price_change,price_percentage,price_high,price_low,price_yesterday,time_update
0,美元指数,96.31,0.69,0.73%,96.46,95.53,95.62,04:59:59
1,欧元美元,1.1413,-0.0114,-0.99%,1.1536,1.1388,1.1527,04:59:59
2,英镑美元,1.2758,-0.0066,-0.51%,1.2837,1.2723,1.2824,04:59:59
3,美元日元,110.83,-0.25,-0.23%,111.17,110.51,111.08,04:59:59
4,澳元美元,0.7302,-0.0071,-0.96%,0.7380,0.7281,0.7373,04:59:59
5,美元瑞郎,0.9952,0.0016,0.16%,0.9975,0.9926,0.9936,04:59:59
6,美元加元,1.3140,0.0089,0.68%,1.3153,1.3042,1.3051,04:59:59
7,美元港元,7.8499,0.0000,0.00%,7.8500,7.8495,7.8499,04:59:58
8,美元在岸人民币,6.8467,0.0257,0.38%,6.8638,6.8286,6.8210,23:29:04
9,美元离岸人民币,6.8692,0.0232,0.34%,6.8740,6.8332,6.8460,04:59:59
10,纽元加元,0.8660,0.0027,0.31%,0.8667,0.8602,0.8633,04:59:59
11,欧元纽元,1.7323,-0.0108,-0.62%,1.7488,1.7261,1.7431,04:59:59
12,澳元日元,80.94,-0.96,-1.17%,82.00,80.62,81.91,04:59:59
13,澳元纽元,1.1087,-0.0061,-0.55%,1.1176,1.1050,1.1148,04:59:59
14,澳元加元,0.9595,-0.0027,-0.28%,0.9628,0.9529,0.9622,04:59:59
15,瑞郎日元,111.38,-0.42,-0.37%,111.88,111.08,111.80,04:59:59
16,澳元瑞郎,0.7262,-0.0064,-0.87%,0.7333,0.7247,0.7326,04:59:59
17,英镑加元,1.6772,0.0036,0.22%,1.6792,1.6644,1.6736,04:59:58
18,欧元英镑,0.8936,-0.0052,-0.58%,0.8992,0.8926,0.8988,04:59:59
19,加元瑞郎,0.7573,-0.0041,-0.54%,0.7625,0.7570,0.7614,04:59:59
20,英镑日元,141.41,-1.05,-0.73%,142.58,140.94,142.45,04:59:59
21,欧元日元,126.53,-1.52,-1.19%,128.11,126.01,128.05,04:59:59
22,欧元瑞郎,1.1359,-0.0096,-0.84%,1.1461,1.1340,1.1455,04:59:59
23,纽元日元,73.01,-0.44,-0.60%,73.57,72.73,73.46,04:59:59
24,英镑瑞郎,1.2711,-0.0031,-0.24%,1.2772,1.2650,1.2742,04:59:59
25,纽元瑞郎,0.6555,-0.0017,-0.26%,0.6580,0.6541,0.6572,04:59:59
26,加元日元,84.33,-0.79,-0.92%,85.20,84.10,85.12,04:59:59
27,英镑澳元,1.7472,0.0078,0.45%,1.7547,1.7379,1.7394,04:59:58
28,欧元澳元,1.5629,-0.0006,-0.04%,1.5703,1.5607,1.5635,04:59:59
29,英镑纽元,1.9368,-0.0024,-0.12%,1.9457,1.9275,1.9392,04:59:59
30,欧元加元,1.4998,-0.0045,-0.30%,1.5051,1.4929,1.5043,04:59:59
31,美元波兰兹罗提,3.7361,0.0027,0.07%,3.7395,3.7329,3.7334,13:32:43
32,美元墨西哥比索,18.910,0.217,1.16%,19.069,18.689,18.693,04:59:59
33,美元匈牙利福林,275.72,0.41,0.15%,275.76,275.29,275.31,13:32:43
34,美元土耳其里拉,6.4323,0.8817,15.88%,6.8703,5.5381,5.5506,04:59:59
35,美元南非兰特,14.093,0.386,2.81%,14.148,13.660,13.708,04:59:59
36,美元捷克朗,23.695,0.027,0.11%,23.706,23.666,23.668,13:32:44
37,美元丹麦克朗,6.5318,0.0641,0.99%,6.5447,6.4623,6.4677,04:59:59
38,美元挪威,8.3611,0.0421,0.51%,8.3873,8.3072,8.3190,04:59:59
39,美元卢布,67.735,1.066,1.60%,67.914,66.486,66.669,04:58:59
40,美元瑞典,9.1228,0.1150,1.28%,9.1529,8.9989,9.0078,04:59:59
41,美元新币,1.3734,0.0057,0.42%,1.3738,1.3661,1.3677,04:59:59
42,纽元美元,0.6590,-0.0023,-0.35%,0.6622,0.6571,0.6613,04:59:59
43,比特币美元,4081.77,8.77,0.22%,4153.62,4019.65,4073.00,13:38:42
